Value,Category,Definition
Acceptance,Intrinsic,Welcoming people and ideas as they are; fostering inclusion and respect.
Accuracy,Intrinsic,"Commitment to correct, precise work and truth in details."
Adaptability,Intrinsic,Responding effectively to change; learning and adjusting quickly.
Alertness,Intrinsic,Staying vigilant and attentive to opportunities and risks.
Ambition,Intrinsic,Setting bold goals and pursuing them with drive.
Amusement,Intrinsic,Bringing lightness and joy; encouraging humor and fun.
Attentive,Intrinsic,Practicing deep listening and mindful focus on others and work.
Awareness,Intrinsic,"Maintaining conscious understanding of self, others, and context."
Beauty,Intrinsic,Valuing aesthetics and creating experiences that uplift.
Bravery,Intrinsic,Choosing courageous action despite fear or uncertainty.
Brilliance,Intrinsic,"Pursuing exceptional insight, creativity, and performance."
Calm,Intrinsic,Staying steady under pressure; responding thoughtfully.
Capable,Intrinsic,Developing and applying skill to deliver reliably.
Careful,Intrinsic,Acting with caution and thoroughness to prevent errors.
Challenge,Intrinsic,Embracing stretch goals and constructive pushback to grow.
Clear,Intrinsic,Communicating simply and transparently to reduce ambiguity.
Clever,Intrinsic,"Using inventive, practical solutions to overcome obstacles."
Comfort,Intrinsic,Creating ease and psychological safety without complacency.
Common sense,Intrinsic,Applying practical judgment grounded in experience and reality.
Concentration,Intrinsic,Focusing attention and energy fully on the task at hand.
Confidence,Intrinsic,Trusting in one’s abilities and decisions with self-assurance.
Connection,Intrinsic,Building meaningful bonds and relationships with others.
Consciousness,Intrinsic,"Awareness of thoughts, feelings, and the present moment."
Contentment,Intrinsic,Finding satisfaction and peace with what is.
Conviction,Intrinsic,Holding strong beliefs and standing firm in them.
Courage,Intrinsic,Facing challenges and fears with determination and bravery.
Creation,Intrinsic,Bringing something new into existence through effort.
Creativity,Intrinsic,Generating original ideas and innovative solutions.
Curiosity,Intrinsic,Seeking knowledge and understanding with openness and wonder.
Discovery,Intrinsic,"Uncovering new knowledge, insights, or possibilities."
Endurance,Intrinsic,Persisting through difficulties with strength and resilience.
Energy,Intrinsic,Vitality and drive to take action and achieve goals.
Enjoyment,Intrinsic,Taking pleasure in activities and appreciating moments.
Enthusiasm,Intrinsic,Passionate eagerness and positive engagement.
Experience,Intrinsic,Accumulated knowledge and wisdom gained through life.
Exploration,Intrinsic,Seeking out and engaging with the unknown.
Expressive,Intrinsic,Communicating thoughts and emotions openly and vividly.
Fearless,Intrinsic,Acting with boldness and without fear.
Feelings,Intrinsic,Awareness and acknowledgment of emotional states.
Ferocious,Intrinsic,Displaying intense determination and powerful drive.
Focus,Intrinsic,Directing attention and effort toward a single purpose.
Fortitude,Intrinsic,Strength of mind to face adversity with courage.
Freedom,Intrinsic,Having the power to choose and act without constraint.
Fun,Intrinsic,Bringing joy and playfulness into life and work.
Genius,Intrinsic,Exceptional natural intelligence and inventive capacity.
Grace,Intrinsic,Carrying oneself with elegance and dignity.
Gratitude,Intrinsic,Appreciation for life’s gifts and expressing thankfulness.
Happiness,Intrinsic,"A state of joy, contentment, and well-being."
Harmony,Intrinsic,"Living in balance with self, others, and the world."
Health,Intrinsic,"Maintaining physical, mental, and emotional well-being."
Hope,Intrinsic,Belief in positive outcomes and brighter possibilities.
Humility,Intrinsic,Recognizing one’s limitations with modesty and respect.
Imagination,Intrinsic,Using creativity to form vivid ideas and visions.
Independence,Intrinsic,Self-reliance and the ability to act autonomously.
Individuality,Intrinsic,Embracing one’s uniqueness and personal expression.
Inquisitive,Intrinsic,Showing curiosity and a strong desire to learn.
Insightful,Intrinsic,Seeing deeply into situations and offering clear understanding.
Inspiring,Intrinsic,"Encouraging others through words, actions, or example."
Intelligence,Intrinsic,"Capacity to learn, reason, and solve problems effectively."
Intensity,Intrinsic,Applying concentrated effort and strong emotion to pursuits.
Intuitive,Intrinsic,Relying on instinctive understanding and inner guidance.
Irreverent,Intrinsic,Challenging convention with humor or boldness.
Joy,Intrinsic,Experiencing delight and uplifting emotion.
Knowledge,Intrinsic,"Accumulated facts, truths, and understanding."
Learning,Intrinsic,"Actively acquiring skills, insights, and growth."
Liberty,Intrinsic,Freedom to choose and act without restraint.
Logic,Intrinsic,Applying structured thinking and sound reasoning.
Mastery,Intrinsic,Achieving excellence through skill and practice.
Maturity,Intrinsic,"Showing emotional, mental, and social development."
Meaning,Intrinsic,Finding depth and significance in experiences.
Motivation,Intrinsic,"Inner drive to act, grow, and succeed."
Openness,Intrinsic,Being receptive to new ideas and perspectives.
Optimism,Intrinsic,Expectation of positive outcomes and possibilities.
Originality,Intrinsic,Bringing forth unique and inventive ideas.
Passion,Intrinsic,Strong enthusiasm and deep commitment.
Patience,Intrinsic,Remaining calm and persistent over time.
Peace,Intrinsic,Cultivating inner calm and harmony.
Playfulness,Intrinsic,Infusing life with humor and creativity.
Poise,Intrinsic,"Maintaining balance, composure, and confidence."
Present,Intrinsic,Living fully in the current moment.
Purpose,Intrinsic,Living with direction and significance.
Realistic,Intrinsic,Grounded in practical understanding of reality.
Reason,Intrinsic,Using reasoning to guide thought and action.
Recreation,Intrinsic,Engaging in activities for enjoyment and renewal.
Reflective,Intrinsic,Thinking deeply and learning from experience.
Risk,Intrinsic,Choosing bold actions despite uncertainty.
Satisfaction,Intrinsic,Fulfillment from achieving goals and desires.
Self-reliance,Intrinsic,Depending on one’s own judgment and abilities.
Sensitivity,Intrinsic,Awareness of and care for others’ feelings.
Serenity,Intrinsic,A state of inner calm and peace.
Silence,Intrinsic,Quietness that allows reflection and clarity.
Simplicity,Intrinsic,Living with clarity and freedom from excess.
Smart,Intrinsic,Quick to understand and apply knowledge effectively.
Solitude,Intrinsic,Choosing solitude for renewal and self-reflection.
Spirit,Intrinsic,The essence of vitality and human drive.
Spirituality,Intrinsic,Connection to deeper meaning or higher purpose.
Spontaneous,Intrinsic,Acting naturally and with unplanned freedom.
Stability,Intrinsic,Steadiness and reliability through change.
Surprise,Intrinsic,An unexpected event bringing delight or learning.
Thankful,Intrinsic,Feeling and expressing gratitude.
Thoughtful,Intrinsic,Showing care and consideration for others.
Toughness,Intrinsic,Resilience and strength in facing hardship.
Tranquility,Intrinsic,Peaceful stillness and harmony.
Uniqueness,Intrinsic,Embracing individuality and distinctiveness.
Vigor,Intrinsic,Physical strength and robust energy.
Vision,Intrinsic,A clear picture of future possibility and direction.
Vitality,Intrinsic,Strong life force and energetic presence.
Wisdom,Intrinsic,Practical knowledge and good judgment.
Wonder,Intrinsic,Awe and curiosity about life’s mysteries.
Accomplishment,Extrinsic,Completion of a meaningful task or goal.
Accountability,Extrinsic,Owning one’s actions and responsibilities.
Achievement,Extrinsic,Reaching goals through effort and ability.
Assertiveness,Extrinsic,Confidence in expressing needs and opinions.
Balance,Extrinsic,Maintaining equilibrium across life’s domains.
Boldness,Extrinsic,Courage to take risks and act with confidence.
Certainty,Extrinsic,Confidence in knowledge and outcomes.
Cleanliness,Extrinsic,"Commitment to order, purity, and hygiene."
Competence,Extrinsic,Ability to perform tasks effectively and skillfully.
Consistency,Extrinsic,Reliability and uniformity in actions over time.
Control,Extrinsic,Exercising influence and self-discipline.
Credibility,Extrinsic,Earning trust through honesty and reliability.
Decisive,Extrinsic,Making clear and firm choices.
Decisiveness,Extrinsic,Confidence and commitment in decision-making.
Dedication,Extrinsic,Devotion and persistent effort toward a cause.
Dependability,Extrinsic,Reliability in fulfilling commitments and responsibilities.
Determination,Extrinsic,Firm resolve to achieve goals despite obstacles.
